No,Title,Artist,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,GENRE,KATEGORI EMOSI,Cover_url
451,kota ini tak sama tanpamu,Nadhif Basalamah,81,50,54,-7,36,4:32,79,R&B,relaxed,https://lh3.googleusercontent.com/u/0/d/1t9BFBz2wRHdRvzu_YcCxM2OQztiGy3Wy
452,Mengudara,Idgitaf,186,57,51,-6,16,3:00,76,Pop Indo,relaxed,https://lh3.googleusercontent.com/u/0/d/14xLDyQ57wOjI8up-jnkcOkL521PcQJpd
453,"Hidup Untukmu, Mati Tanpamu",Noah,158,87,35,-5,21,5:22,3,Rock,happy,https://lh3.googleusercontent.com/u/0/d/1k5gorueNDrmyY9iLLWoR3PsKN8GfZhD_
454,Strong,One Direction,115,66,74,-7,34,3:05,6,Pop,happy,https://lh3.googleusercontent.com/u/0/d/1VGD7QUgYS4r-MpGrjOL3hDVqeiRbMm2h
455,Ribuan Memori,Lomba Sihir,96,68,73,-5,92,4:14,12,Pop Indie,happy,https://lh3.googleusercontent.com/u/0/d/1lVmBNTUTicpMFd0xT5wA_YrL8vgnJV4d
456,Bermuara,Rizky Febian,146,35,24,-10,22,4:47,72,Pop,relaxed,https://lh3.googleusercontent.com/u/0/d/1JM5cY_vXjooa_e5hsLXp3lnyuXrbWv77
457,Manusia Paling Bahagia,Ghea Indrawari,125,77,73,-5,92,3:32,25,Pop,happy,https://lh3.googleusercontent.com/u/0/d/16a0Os1XQMr_aKeMgal3XLVZEzCterklZ
458,supernatural,Ariana Grande,76,71,58,-7,52,2:43,10,Pop,relaxed,https://lh3.googleusercontent.com/u/0/d/1IySxKuPhWfi-SjJUP0_C7nK7gRUjxF3l
459,Laksana Surgaku,Dudy Oris,130,43,68,-7,38,3:38,42,Pop,relaxed,https://lh3.googleusercontent.com/u/0/d/1swsnMR7aH4YS5pwHxHaryIbSsu2UfWjr
460,Lesung Pipi,Raim Laode,136,38,60,-11,40,3:44,47,R&B,relaxed,https://lh3.googleusercontent.com/u/0/d/1FzRTzPRoYLc_O6OXSDYutahH_fkO69uD
461,Siapkah Kau 'Tuk Jatuh Cinta Lagi,Hivi!,142,71,63,-6,90,4:39,28,Pop,happy,https://lh3.googleusercontent.com/u/0/d/1C8qmgNTr3eWhZA_UkzFB8rbv97JSzfue
462,Bersenja Gurau,Raim Laode,77,28,55,-10,17,3:13,76,R&B,relaxed,https://lh3.googleusercontent.com/u/0/d/138a-cmy4vs6h91_HEGhO06R5upkbf6JM
463,Cemburu,Raim Laode,130,47,58,-8,44,4:34,76,R&B,sad,https://lh3.googleusercontent.com/u/0/d/1XF_XpH3h9tfRhk9xGHne2hJBUrFL0mTa
464,Sampai Kau Jadi Milikku,Judika,164,66,60,-7,50,3:13,11,Pop,relaxed,https://lh3.googleusercontent.com/u/0/d/1rcnZ1xlk-QFhlwjs9lSbQKE5WhO74pdI
465,Kamu Cantik Kamu Baik,Lyla,110,66,66,-10,63,4:06,10,Pop,relaxed,https://lh3.googleusercontent.com/u/0/d/1t023URV5OiXV7x9S5lhMr7XK1XH-3Z04
466,Sesuatu Di Jogja,Mitty Zasia,100,10,73,-14,18,4:21,96,Pop Indo,relaxed,https://lh3.googleusercontent.com/u/0/d/1xToK6gFNmgUH4ygwkjLUdOYdTUMEbAxW
467,Merindu Lagi (Pada Kekasih Orang),Yovie & Nuno,128,69,62,-4,72,2:58,34,Rock,angry,https://lh3.googleusercontent.com/u/0/d/1FEOZ9uDb8f0hdF3nWe8fzIrWpfOgetyL
468,Mau Dibawa Kemana,Armada,110,57,65,-6,73,3:56,49,Pop,sad,https://lh3.googleusercontent.com/u/0/d/1QFyfzGoS8MYM1awRC-K2Xn8ssTSX5F0_
469,Perfect,One Direction,100,82,65,-5,40,3:46,6,Pop,happy,https://lh3.googleusercontent.com/u/0/d/1lZK3TUN8Wk1fra55OmRo0CSgH4Aploj4
470,lowkey,NIKI,118,49,75,-8,23,2:51,43,R&B,relaxed,https://lh3.googleusercontent.com/u/0/d/1kGe3xpe0yt_BRJhKo_Ja6L6mUaiFztRu
471,Jadi Kekasihku Saja,Keisya Levronka,126,59,67,-6,71,2:51,80,Pop,relaxed,https://lh3.googleusercontent.com/u/0/d/1g4Sbo0CtFGCkuGP74eMQgj4CxXfyigsM
472,Ingkar,Tulus,86,33,24,-9,35,4:17,87,Jazz,sad,https://lh3.googleusercontent.com/u/0/d/1HqtJoPXs-hogiYqXKVFemCKZZuQ99yIE
473,Now I Know,Kaleb J,120,44,59,-6,31,4:18,2,R&B,relaxed,https://lh3.googleusercontent.com/u/0/d/1v5ru35U_kT5WbXIoXdG-ENj_7_RetfCN
474,Gemuruh Riuh,Mighfar Suganda,150,69,44,-11,31,4:42,6,Pop Indo,sad,https://lh3.googleusercontent.com/u/0/d/1F76DNnvg9U6G43a1CQkVkozlIa8DNYE-
475,Berpayung Tuhan,Nadin Amizah,120,24,64,-13,32,4:57,93,Pop Indo,relaxed,https://lh3.googleusercontent.com/u/0/d/1bnaH7Rb1TWciIE1r2ZfBPWtRmj1XwxoP
476,Gravity,wolfy.,76,47,46,-9,22,3:22,42,Pop Indo,relaxed,https://lh3.googleusercontent.com/u/0/d/1WncW9HXVufBoJ3ylZHxHGpSnFD8BBaeF
477,Say You Won't Let Go,James Arthur,85,56,36,-7,49,3:30,70,Pop,relaxed,https://lh3.googleusercontent.com/u/0/d/1EeywcnLfDualQ_1g8Z88JgXpfXB5CT4P
478,Impossible,James Arthur,170,70,38,-5,30,3:31,14,Pop,sad,https://lh3.googleusercontent.com/u/0/d/1LMdRPzTqucZI8H5KpkqWnQ_gkD1slL6Z
479,Car's Outside,James Arthur,150,56,34,-7,26,4:06,4,Pop,sad,https://lh3.googleusercontent.com/u/0/d/1gkdFzShg9WrZ2kci0K91QCjxYw9jSGkr
480,Train Wreck,James Arthur,77,49,31,-6,23,3:24,70,Pop,sad,https://lh3.googleusercontent.com/u/0/d/1SIgFVpdzZQid_U99yp_CE6u-1luubrT
481,Can I Be Him,James Arthur,108,54,70,-6,48,4:05,31,Pop,sad,https://lh3.googleusercontent.com/u/0/d/1yyVwM7mBPTCgt1dmwf9hWT7tvfiDAlfF
482,Naked,James Arthur,102,61,53,-7,29,3:53,8,Pop,sad,https://lh3.googleusercontent.com/u/0/d/1VaaxKwBvoumf2wIYdiKG1Uy36ku81hB8
483,A Thousand Years,James Arthur,139,47,53,-6,27,4:12,40,Pop,relaxed,https://lh3.googleusercontent.com/u/0/d/1PwyQx3s0moZiubA4OgeaF29A016NQ6sA
484,KISINAN 2,Masdddho,127,63,59,-7,66,3:52,61,Pop Jawa,sad,https://lh3.googleusercontent.com/u/0/d/1-2B2lEoOfdRm3gevLRfM10jEkGaFwPM3
485,Sinarengan,Denny Caknan,128,55,53,-7,22,5:31,75,Pop Jawa,relaxed,https://lh3.googleusercontent.com/u/0/d/1rFeQjg_pFClukekgg_rHFGsrf5hhARh1
486,Wirang,Guyon Waton,134,62,62,-9,59,5:00,31,Pop Jawa,sad,https://lh3.googleusercontent.com/u/0/d/1ZGq4hZH3Aru-JT2a1rytVRWkAR66dF3N
487,Drag Path,Twenty One Pilots,190,49,28,-7,30,3:44,49,Rock,angry,https://lh3.googleusercontent.com/u/0/d/1Hvqi8566LtWjJCn20He3WJsAuQcE9YmZ
488,Apocalypse,Cigarettes After Sex,94,47,37,-9,17,4:46,2,Pop Indie,relaxed,https://lh3.googleusercontent.com/u/0/d/16M0PkUPkCp7gMk8bH-8Q0p9SYpRlQvMU
489,Cry,Cigarettes After Sex,143,40,41,-10,16,4:16,76,Pop Indie,sad,https://lh3.googleusercontent.com/u/0/d/1ZyiRQku_RrDBltiIODaqPeyPfnZLh7DC
490,Sunsetz,Cigarettes After Sex,75,48,41,-9,14,3:34,5,Pop Indie,relaxed,https://lh3.googleusercontent.com/u/0/d/1XeM46TbpvdL5eqmjrTDrTp5UPM6lRFyA
491,K.,Cigarettes After Sex,94,40,45,-10,31,5:17,15,Pop Indie,sad,https://lh3.googleusercontent.com/u/0/d/1dbU2nTo0j61rdIIQ26yHMmIlftVHJ1cK
492,Sweet,Cigarettes After Sex,96,51,45,-9,11,4:51,36,Pop Indie,relaxed,https://lh3.googleusercontent.com/u/0/d/1cjw_72hErAIkVZYh0lDuMQhYAHkQ6mMw
493,Nothing's Gonna Hurt You Baby,Cigarettes After Sex,97,33,51,-14,10,4:46,27,Pop Indie,relaxed,https://lh3.googleusercontent.com/u/0/d/1KaD5SI7Q4KdlxSpbeMtJ8JWvCnLwd81D
494,Heavenly,Cigarettes After Sex,105,44,54,-9,13,4:46,68,Pop Indie,relaxed,https://lh3.googleusercontent.com/u/0/d/1N_mw426oIeuoaplVt6taoZkjDjXc3WPi
495,Touch,Cigarettes After Sex,96,50,49,-9,38,4:52,37,Pop Indie,relaxed,https://lh3.googleusercontent.com/u/0/d/1T3LOaEttFna0zVVF6yyxYJxztVnVXI4k
496,John Wayne,Cigarettes After Sex,124,46,43,-8,18,4:18,35,Pop Indie,sad,https://lh3.googleusercontent.com/u/0/d/1etDlINq8xdz9gRPZ28npWGIqHP_BF60O
497,You're All I Want,Cigarettes After Sex,186,47,23,-11,25,4:24,36,Pop Indie,relaxed,https://lh3.googleusercontent.com/u/0/d/1YTKFy53XZy6tufEmFaBfOH8LC3-V6SEi
498,Summertime Sadness,Lana Del Rey,112,65,56,-7,24,4:25,5,Pop Indie,sad,https://lh3.googleusercontent.com/u/0/d/1WndI3ZWLxewRXpH94j-eFiSh-6yANuwk
499,Brooklyn Baby,Lana Del Rey,108,66,40,-7,9,5:53,54,Pop Indie,relaxed,https://lh3.googleusercontent.com/u/0/d/1T_bwJ5m8bwHQ9xVzmBm2ORZeMwLugobI
500,Salvatore,Lana Del Rey,118,31,30,-10,12,4:41,68,Pop Indie,relaxed,https://lh3.googleusercontent.com/u/0/d/1lLeMYhtpBHhbDZ2bRx9BLJ5SypXl5Jih
501,anything 4 u,LANY,147,56,57,-8,47,3:14,14,Pop Indie,relaxed,https://lh3.googleusercontent.com/u/0/d/18s_-fX4Q6G1cKlOiJdj_gE6rglNAaNbc
502,Tunggal Eka,La Tasya,137,74,67,-7,75,3:38,51,Pop Jawa,happy,https://lh3.googleusercontent.com/u/0/d/1TSifJcrwo2cPGyRbOKPa6Xtbs4Stxuaq
503,Raiso Ngapusi,La Tasya,140,75,67,-8,95,4:39,52,Pop Jawa,sad,https://lh3.googleusercontent.com/u/0/d/1xvwNan1v51sUc0ah38x84xqnZ1jkiY0-
504,Raiso Ngapusi 2,La Tasya,138,72,66,-7,86,4:39,51,Pop Jawa,angry,https://lh3.googleusercontent.com/u/0/d/1um8ebqMy3ZZp5fcfDrHZSEM2OZ0CHKJv
505,CLBK (Cinta Lama Bersemi Kembali),La Tasya,113,30,74,-10,52,5:11,98,Pop Jawa,relaxed,https://lh3.googleusercontent.com/u/0/d/1l0tafEzQefdlSBZ9kRYPfB5pv-lIaJz8
506,Kata Mereka Ini Berlebihan,Bernadya,78,44,40,-10,22,3:12,88,Pop Indo,relaxed,https://lh3.googleusercontent.com/u/0/d/1YvEsCihNkEnNWPmXBVZl20BkGHdhnhyl
507,Apa Mungkin,Bernadya,90,30,54,-12,25,3:57,89,Pop Indo,sad,https://lh3.googleusercontent.com/u/0/d/124BStWEZ26EdABAGGgfKTwGrS0tV2qT5
508,Kini Mereka Tahu,Bernadya,150,48,58,-10,24,4:44,90,Pop Indo,sad,https://lh3.googleusercontent.com/u/0/d/1mP0_3PdL9AeCBuA_PqKFdke3XpiBYwA4
509,Terlintas,Bernadya,87,34,47,-10,24,3:55,89,Pop Indo,sad,https://lh3.googleusercontent.com/u/0/d/17-TI9oEqe1X-ZvUR1mvpYgnBcKcra2zZ
510,Pelan-Pelan,Nuca,132,37,44,-7,18,4:04,85,Pop Indo,relaxed,https://lh3.googleusercontent.com/u/0/d/1fTVIdQE6ZFW2swYpjakRhh0XTacIGIO8
511,Sampai Kita Tua,Nuca,101,35,32,-9,21,4:35,75,Pop Indo,relaxed,https://lh3.googleusercontent.com/u/0/d/1WxN2gSqkMczSm4vUGbzFLmkk81IM5Va1
512,jatuh cinta lagi,Nadhif Basalamah,77,28,31,-10,23,4:08,89,R&B,sad,https://lh3.googleusercontent.com/u/0/d/1cBtTzCFa2rkL_TneiLtZZ3iRKo39EE4U
513,sesuatu,Nadhif Basalamah,125,95,49,-4,42,3:38,0,R&B,angry,https://lh3.googleusercontent.com/u/0/d/1q3HoHXZD2F_0UcoB-vQ78JH-NIRjVTIh
514,masih ada waktunya,Nadhif Basalamah,146,36,55,-9,47,4:07,93,R&B,sad,https://lh3.googleusercontent.com/u/0/d/1gIFIn6Gh9-F_VlBaAySADnh_jVKG5ILA
515,tiba-tiba jumat lagi,Nadhif Basalamah,79,47,22,-10,20,4:09,88,R&B,sad,https://lh3.googleusercontent.com/u/0/d/1LWkq07GlPbyEpTm158ldayzLA4lDj_r3
516,jika kau lelah denganku,Nadhif Basalamah,115,59,78,-7,65,3:08,74,R&B,sad,https://lh3.googleusercontent.com/u/0/d/1PetbTiJ-qDbpnFvX8s-h9Fgwsvvrdg3M
517,semoga kau bisa maafkanku beribu kali,Nadhif Basalamah,173,95,45,-5,73,3:45,16,R&B,happy,https://lh3.googleusercontent.com/u/0/d/18-VYHMY1LQO21zeBWGKVqD4sQNXe3puj
518,bersimpuh,Nadhif Basalamah,120,38,45,-10,15,4:16,92,R&B,sad,https://lh3.googleusercontent.com/u/0/d/1s9rcxIARaQCKjC9WuarGjTbikkasObwL
519,isi kepalaku,Nadhif Basalamah,156,37,32,-8,42,3:36,68,R&B,relaxed,https://lh3.googleusercontent.com/u/0/d/1dPpdvwZKtgOt3SQJcMAOuQZiGW7BnLL0
520,penuh,Nadhif Basalamah,82,44,62,-9,75,4:27,61,R&B,sad,https://lh3.googleusercontent.com/u/0/d/1EdKUyWp8HRxYtiAR4JwItTKRMCOtZRlK
521,tulis / terapi,Nadhif Basalamah,115,51,66,-8,37,3:51,45,R&B,sad,https://lh3.googleusercontent.com/u/0/d/1N_u5ugcCZkMlRRf_lVAuU6SKdDuwwizT
522,Membasuh,Hindia,187,20,34,-12,24,6:13,93,Pop Indo,relaxed,https://lh3.googleusercontent.com/u/0/d/1ZBGYao1btbzG8J48QrYAHnibchrdLlEN
523,Ramai Sepi Bersama,Hindia,105,72,64,-5,63,3:07,0,Pop Indo,happy,https://lh3.googleusercontent.com/u/0/d/1eqnOGSqV7De4Y17fdrvQ9a7LgLHQBWFN
524,kids,Hindia,83,67,53,-6,76,3:02,9,Pop Indo,relaxed,https://lh3.googleusercontent.com/u/0/d/1wbVmRih6ndm65wuJT9zNK-q1hYPGdD3K
525,Rasakan Nikmatnya Hidup,Hindia,102,87,64,-5,60,2:30,6,Pop Indo,happy,https://lh3.googleusercontent.com/u/0/d/19ZbRq7N6mNedUGKj-FpJZ__NFK_L7Agi
526,Bayangkan Jika Kita Tidak Menyerah,Hindia,144,90,70,-6,93,3:13,38,Pop Indo,angry,https://lh3.googleusercontent.com/u/0/d/1HgAm0yZufKuB3tEdI0QV8YgH6qE9MK_L
527,Evakuasi,Hindia,85,46,67,-8,44,3:28,40,Pop Indo,sad,https://lh3.googleusercontent.com/u/0/d/1U92hSoWSm56sG6HwCi9JK6BI8iJcl1cY
528,Dehidrasi,Hindia,110,88,61,-5,57,3:59,0,Pop Indo,angry,https://lh3.googleusercontent.com/u/0/d/173guG1hw2tvynCFECHilecPfCrUMXu0G
529,Untuk Apa / Untuk Apa?,Hindia,110,80,73,-8,64,6:18,30,Pop Indo,angry,https://lh3.googleusercontent.com/u/0/d/1NZt8oMa7FLkhM280Z6iPjFwWdESeI46H
530,Laskar Pelangi,Nidji,90,48,55,-10,51,3:52,31,Rock,relaxed,https://lh3.googleusercontent.com/u/0/d/1iFlR0UvdubmeOsKLkVEDd7tQUEdxNq9P
531,Hapus Aku,Nidji,129,78,64,-6,60,4:12,38,Rock,angry,https://lh3.googleusercontent.com/u/0/d/1y4cWU_gd15Fn3PGyiPAPscoRbD6CITNr
532,Kau Masih Kekasihku,NaFF,146,52,50,-7,25,4:45,31,Rock,relaxed,https://lh3.googleusercontent.com/u/0/d/1zatCJWOAxCSNGgKsUEtO-UDwKuzgf--B
533,Akhirnya Ku Menemukanmu,NaFF,140,47,60,-7,32,5:06,9,Rock,relaxed,https://lh3.googleusercontent.com/u/0/d/1J3gyREAZmdGEa08JsM4S86TD6Kg8yiuh
534,Dia Telah Pergi,NaFF,132,33,47,-10,20,5:32,74,Rock,sad,https://lh3.googleusercontent.com/u/0/d/1RzYeIZF3Nzht9bEIpfxDwDvvv74QDf6G
535,Kenanglah Aku - Live,NaFF,138,39,48,-9,50,4:03,45,Rock,sad,https://lh3.googleusercontent.com/u/0/d/1DeZL8v2QJAHa7_8_jjmErsxDg0ZcBngq
536,Mantan Terindah,Kahitna,92,36,41,-9,19,3:37,69,Pop,relaxed,https://lh3.googleusercontent.com/u/0/d/1Ftjt5o1hYWRBGbRDJMzviY7cfONWO4Gr
537,Asing,Juicy Luicy,174,28,53,-10,44,3:13,65,Pop Indo,sad,https://lh3.googleusercontent.com/u/0/d/1AA1fUhYZ2ctEEiWHyax3AGWmvVagpisn
538,Akhir Tak Bahagia,Misellia,132,19,54,-12,32,3:05,92,Pop Indo,sad,https://lh3.googleusercontent.com/u/0/d/1ljV21gqCKB3H2nt3m7d6Ol7oS7ELh1SN
539,Untuk Perempuan Yang Sedang Di Pelukan,Payung Teduh,149,49,48,-7,46,5:42,55,Keroncong,relaxed,https://lh3.googleusercontent.com/u/0/d/1hfhWwXYk5l3VtsE4SVYDo6i249QQ5xHE
540,Duka,Last Child,135,87,58,-5,34,5:25,11,Rock,angry,https://lh3.googleusercontent.com/u/0/d/1Fn6y1E9EPG83IJrJhmsAHRxEhWpAi8Zh
541,Diary Depresiku,Last Child,132,74,58,-9,50,5:17,2,Rock,angry,https://lh3.googleusercontent.com/u/0/d/1AxpqezPMDZjCE3DXK60vD-QOeGkJJQsk
542,Surat Cinta Untuk Starla,Virgoun,144,48,61,-7,37,4:33,69,Pop,relaxed,https://lh3.googleusercontent.com/u/0/d/1HP6vAzw6PNGtou2IWNkyMtkxsIPUy9h5
543,Pelangi,Hivi!,98,26,55,-9,18,3:37,98,Pop,relaxed,https://lh3.googleusercontent.com/u/0/d/15T_foVGVhXAFmpF9t96cLeQoHteBos7x
544,Mata Ke Hati (Acoustic Version),Hivi!,124,52,87,-6,89,3:24,23,Pop,happy,https://lh3.googleusercontent.com/u/0/d/1_3Gx8ugTW9DPSnWnqhpOmT_z72_xNmxs
545,Remaja,Hivi!,123,44,62,-8,70,3:36,71,Pop,relaxed,https://lh3.googleusercontent.com/u/0/d/1kVIZV4UM-eDWTu1_jTrRFFhZrTLLawLE
546,"Jatuh, Bangkit Kembali!",Hivi!,149,79,57,-7,79,4:50,1,Pop,happy,https://lh3.googleusercontent.com/u/0/d/1a0sy-TkLvocp0tblzxiiiImKVAkbUSN3
547,Backburner,NIKI,168,56,57,-9,22,3:56,5,R&B,sad,https://lh3.googleusercontent.com/u/0/d/1JBS6KbsDU_FG20-UQDF_fJn2KqsHUUaD
548,Oceans & Engines,NIKI,95,31,37,-9,7,5:36,62,R&B,sad,https://lh3.googleusercontent.com/u/0/d/1TB8-WrKQZwDpMPP-vOxgPwtQe9ORr4mW
549,Autumn,NIKI,95,45,42,-9,21,3:52,42,R&B,sad,https://lh3.googleusercontent.com/u/0/d/1xFP9t30qalLYI2k617yQ-jW2YWO_jcrX
550,The Apartment We Won't Share,NIKI,87,17,40,-16,31,2:29,91,R&B,sad,https://lh3.googleusercontent.com/u/0/d/1RpUrI_dg73zFQrNSq3qiEqUNABtYL0LC
551,Before,NIKI,140,60,67,-9,32,3:55,51,R&B,sad,https://lh3.googleusercontent.com/u/0/d/1u4JRU_cOZXjMiCCeuwAHDIWElceED1CZ
552,Fix You,Coldplay,138,42,21,-9,12,4:55,16,Rock,relaxed,https://lh3.googleusercontent.com/u/0/d/1-dWpQidTDibH4iVTLy2kPPZPEHfaSmqg
553,The Night We Met,Lord Huron,174,38,44,-10,11,3:28,97,Pop Indie,sad,https://lh3.googleusercontent.com/u/0/d/12AnvnOZ4nKVSYOqGfg7eIsKP6cUindCL
554,Scott Street,Phoebe Bridgers,135,42,51,-10,48,4:45,77,Pop Indie,sad,https://lh3.googleusercontent.com/u/0/d/1pDhhAzlCwtZ-oiCUo-rb4VMUau6pxahk
555,Sailor Song,Gigi Perez,95,41,49,-10,27,3:32,68,Pop Indie,sad,https://lh3.googleusercontent.com/u/0/d/1PIXTSUd63M4zH1v46Q7Zldq8F0jw_DLx
556,End of Beginning,Djo,160,45,69,-8,91,2:39,4,Pop Indie,sad,https://lh3.googleusercontent.com/u/0/d/10b3pdvtfZazrl1e1tKODsXEV2HidG8eY
557,back to friends,sombr,93,72,44,-2,24,3:19,0,Pop Indie,angry,https://lh3.googleusercontent.com/u/0/d/1W5tJXM21pQYyAtQipXCgyuuOjg4PLac6
558,The Winner Takes It All,ABBA,126,79,45,-7,52,4:54,57,Pop,sad,https://lh3.googleusercontent.com/u/0/d/1LKhj8Snupq99X6ru8GEI2h420khFm4BA
559,Ready to Run,One Direction,115,83,52,-4,30,3:15,0,Pop,happy,https://lh3.googleusercontent.com/u/0/d/13wxQAA26TJN4f1ie0Vkl2E1nkr_Lu9wY
560,Wolves,Selena Gomez,125,80,73,-5,31,4:03,12,Pop,angry,https://lh3.googleusercontent.com/u/0/d/17I73Td46dK2orvBWewo8ZMj0oZ9Hymes
561,Selesaikan Masa Lalumu Dulu,Dimas M,120,46,89,-11,93,1:57,31,Pop Indo,sad,https://lh3.googleusercontent.com/u/0/d/1u0Hguecuh6ppYAgwbDHfyUoKjaiBfobF
562,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,100,56,73,-8,35,3:37,62,Pop,sad,https://lh3.googleusercontent.com/u/0/d/14pTUibxC5OgPE9iBs8SlzauaKyAZD1Ws
563,Faded,Alan Walker,180,63,47,-5,16,3:32,3,Electronic,sad,https://lh3.googleusercontent.com/u/0/d/1CYWHwSXZeFMGeqSpJITp4RM14vZ0-Wq1
564,Alone,Alan Walker,97,91,67,-4,18,2:43,23,Electronic,angry,https://lh3.googleusercontent.com/u/0/d/15s3rGuY1x0IhI-hXI6CbISY5864fUt1h
565,"Alone, Pt. II",Alan Walker,88,66,67,-4,63,2:57,54,Electronic,sad,https://lh3.googleusercontent.com/u/0/d/1BWjQjluNhV4sTCNS9R1rjwgsPfuN1FFq
566,Darkside,Alan Walker,170,61,43,-5,12,3:31,13,Electronic,sad,https://lh3.googleusercontent.com/u/0/d/1KTRA-F90EZcDujqg80cIQcfHIz70nV-X
567,Silence,Marshmello,142,76,52,-3,29,3:06,26,Electronic,angry,https://lh3.googleusercontent.com/u/0/d/1_4C0HAAJgwq--gg63xPQhqO2f4c3mmth
568,Beauty And A Beat,Justin Bieber,128,84,60,-5,53,3:48,0,Pop,happy,https://lh3.googleusercontent.com/u/0/d/1EIx58fgZQ14IBRqCmq0qIeRWz3M9jv00
569,Baby,Justin Bieber,65,86,73,-5,54,3:34,4,Pop,angry,https://lh3.googleusercontent.com/u/0/d/1XqbuY9R7i-YTuEA3SdxVmh_1vbwICjGs
570,Confident,Justin Bieber,134,56,74,-5,89,4:09,11,Pop,relaxed,https://lh3.googleusercontent.com/u/0/d/1lkyVe-K2uE2yO3Abd3BY_4ulY5sZUB78
571,Sorry,Justin Bieber,100,76,66,-4,41,3:18,8,Pop,angry,https://lh3.googleusercontent.com/u/0/d/1hAS7qqEC7n7nIfdenH0f_YHkVcynr5pC
572,DAISIES,Justin Bieber,110,38,80,-9,48,2:56,72,Pop,relaxed,https://lh3.googleusercontent.com/u/0/d/1efTvu0REUMkLm420484TTJb3E0E5ibIW
573,Eenie Meenie,Sean Kingston,121,61,72,-4,83,3:23,5,Reggae,happy,https://lh3.googleusercontent.com/u/0/d/1mxkS51zk2i1_QQW9Y35SMJv3GVgiZ0dx
574,BUTTERFLIES,Justin Bieber,104,55,59,-8,40,3:13,73,Pop,relaxed,https://lh3.googleusercontent.com/u/0/d/1nwa509wpTvE8_Yop6QfXjeodsOZE7-Jw
575,Habits (Stay High),Tove Lo,110,65,73,-4,35,3:32,7,Pop,angry,https://lh3.googleusercontent.com/u/0/d/10h4Gzjas-gWB4zAXMpGqafzD_l_IKQB6
576,Saktenane 2,Vadesta,125,62,64,-9,52,6:35,42,Pop Jawa,relaxed,https://lh3.googleusercontent.com/u/0/d/1w3LfmRHIpyLFQYhTAXjFsT7EZbdhQna_
577,Saktenane,Vadesta,125,55,64,-12,60,5:22,58,Pop Jawa,relaxed,https://lh3.googleusercontent.com/u/0/d/1HV-u_9ZZC5KELd1wKk4Cn2HaQU_IM69D
578,33x,Perunggu,101,68,62,-8,30,7:14,0,Rock,relaxed,https://lh3.googleusercontent.com/u/0/d/1Vtg_OCIAGjAXTF2ZmC2KCxlUWTv-IlDs
579,Selamat (Selamat Tinggal),Virgoun,80,58,47,-9,38,5:13,52,Pop,sad,https://lh3.googleusercontent.com/u/0/d/1F_SZ3Wf7bo9c6-eBBjqlFz3FN7E15eaM
580,APT.,ROSÉ,149,78,78,-4,94,2:49,3,International Pop,happy,https://lh3.googleusercontent.com/u/0/d/10uRE6qll3fqOw_FKBkIrZ4sysR-gBqIQ
581,Hitam Putih,Fourtwnty,120,33,52,-11,15,4:17,79,Pop Indo,relaxed,https://lh3.googleusercontent.com/u/0/d/12ZFWSNV8w5K88vhQuloj4An6ozRDfaNJ
582,Jakarta Hari Ini,For Revenge,114,80,53,-5,18,3:45,28,Rock,angry,https://lh3.googleusercontent.com/u/0/d/1AerXiCv3SqJc3t6z9xK6GTUBczx1EfFt
583,Nanti Kita Seperti Ini,Batas Senja,85,43,53,-7,40,3:30,30,Pop Indo,relaxed,https://lh3.googleusercontent.com/u/0/d/1ZgQZOEZYz9Zgc2vqV1yiexiMtFvQj2Pz
584,Pulang,For Revenge,130,57,52,-6,11,4:41,40,Rock,sad,https://lh3.googleusercontent.com/u/0/d/1gQTbfWGphGSgpX1rMwDOk3kPFYsw5T7z
585,Kenangan Manis,Pamungkas,140,68,60,-7,72,3:27,5,Pop Indo,relaxed,https://lh3.googleusercontent.com/u/0/d/1N29NCnRBaQVORpNg-De0UvKpZl9X9Pap
586,Resah Jadi Luka,Daun Jatuh,100,27,32,-15,18,4:34,95,Pop Indo,sad,https://lh3.googleusercontent.com/u/0/d/1BsTmIUHQlT17fLCFd7rNcCHSgOD2GTMb
587,April,Fiersa Besari,80,45,39,-8,57,4:13,62,Folk,relaxed,https://lh3.googleusercontent.com/u/0/d/1zRA21wNiCvluYsMY8KvJikV4sDhr2mAo
588,terima kasih,Halstage,87,48,57,-7,32,3:24,79,Pop Indo,sad,https://lh3.googleusercontent.com/u/0/d/1QeiLj2DiN8bSiPHqM0LGrzkQLlK_uJBv
589,"o,Tuan",.Feast,131,63,53,-8,22,5:06,6,Pop Indo,sad,https://lh3.googleusercontent.com/u/0/d/1bsWhAHZ5iekTkAIpkktKyfhPoDMxaEoD
590,Kami Belum Tentu,.Feast,105,90,62,-4,54,3:51,1,Pop Indo,angry,https://lh3.googleusercontent.com/u/0/d/1FhQP3KPilenpIAq1CcnCb25Am3r2ivAS
591,Berita Kehilangan,.Feast,85,80,54,-8,47,4:22,0,Pop Indo,angry,https://lh3.googleusercontent.com/u/0/d/11YzcLzxlpobJ-UPtCWdehhW0cnYuNR62
592,Di Atas Awan,Nidji,130,74,50,-6,17,4:18,0,Rock,happy,https://lh3.googleusercontent.com/u/0/d/1raSgo7LRcIkKKrig-XKLlD4U-J-ZybiR
