No,Title,Artist,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,GENRE,KATEGORI EMOSI,Cover_url
347,the cure,Olivia Rodrigo,144,43,54,-6,15,4:57,67,Rock,sad,https://lh3.googleusercontent.com/u/0/d/1IMNHVwTGWFm_LWsz1_JGOldwUMMUs_tw
348,CHIHIRO,Billie Eilish,110,43,70,-13,52,5:03,14,Pop Indie,sad,https://lh3.googleusercontent.com/u/0/d/1lziYtuvm7cWMHualpl965Wdmup-55x84
349,ocean eyes,Billie Eilish,145,36,51,-8,17,3:04,82,Pop Indie,sad,https://lh3.googleusercontent.com/u/0/d/1JFvjaZugdXTptzRkg6pOqQ_3r-I9OVwe
350,Dandelions,Ruth B.,117,69,61,-3,45,3:55,2,Pop,happy,https://lh3.googleusercontent.com/u/0/d/1Zru9g2nyas3tLrQsh-PdU34uu4B3D1st
351,brutal,Olivia Rodrigo,124,53,67,-6,28,2:24,3,Rock,sad,https://lh3.googleusercontent.com/u/0/d/1xMZ_um8h9Lflqk_8rY1QBIdpWaI_hH0Q
352,all-american bitch,Olivia Rodrigo,156,70,42,-4,45,2:45,22,Rock,sad,https://lh3.googleusercontent.com/u/0/d/1UpvMrJQgmsE_HMu5_O1pawqK6qGVb65k
353,Earned It (Fifty Shades Of Grey),The Weeknd,120,28,66,-8,39,4:11,43,R&B,relaxed,https://lh3.googleusercontent.com/u/0/d/1likgJryCu_IJy4637AfZnJ0MGTgmQRt8
354,After Hours,The Weeknd,109,57,66,-6,14,6:01,8,R&B,sad,https://lh3.googleusercontent.com/u/0/d/1-hDoLp86fHRbuD9uXXsOxiwuLd2DfXMI
355,Ninggal Tatu,Kurnia Rahma,132,73,59,-8,45,5:01,3,Pop Jawa,angry,https://lh3.googleusercontent.com/u/0/d/1C23lHisgiOeVj4-EhFaWXnLUY3LZzuDc
356,Mariners Apartment Complex,Lana Del Rey,76,25,53,-13,16,4:06,76,Pop Indie,relaxed,https://lh3.googleusercontent.com/u/0/d/1dvJanRIdqp1z5eAOmbjQag48nFcBghx-
357,Jogja Istimewa,Jogja Hip Hop Foundation,170,89,81,-4,79,4:04,17,Hip-Hop,happy,https://lh3.googleusercontent.com/u/0/d/15H39S27mzBdSOy0QBqk6LBrkOVJNMX4Y
358,Song of Sabdatama,Jogja Hip Hop Foundation,156,72,70,-4,41,5:22,4,Hip-Hop,happy,https://lh3.googleusercontent.com/u/0/d/1Fi5p0OjNvP_nmtGPEdQ0g42SFzUTKt-f
359,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,90,70,68,-6,46,3:45,32,Pop,happy,https://lh3.googleusercontent.com/u/0/d/17OBJcPQQYy_cXjpXAYJWm8EZ_geU7zu8
360,Lie To Girls,Sabrina Carpenter,120,41,66,-9,22,3:20,46,Pop,sad,https://lh3.googleusercontent.com/u/0/d/1ru68seqFBay-oPyy1xQilYzPdpxyFUD5
361,Flip It Up,Tiara Andini,154,78,61,-4,67,3:08,3,Pop,angry,https://lh3.googleusercontent.com/u/0/d/16RCV3MhAhRDFeCkYT0vWlZwG1RcMJtax
362,good 4 u,Olivia Rodrigo,167,66,56,-5,69,2:58,34,Rock,sad,https://lh3.googleusercontent.com/u/0/d/1V4OKOD7QulDVkBGg8BQTyYzxfFSrqKC3
363,Less Than Zero,The Weeknd,143,79,54,-6,50,3:31,0,R&B,angry,https://lh3.googleusercontent.com/u/0/d/1IeOLKrp-Tc2qod1nA2k5vbDAeEMfoDXP
364,West Coast,Lana Del Rey,123,59,53,-8,46,4:16,19,Pop Indie,relaxed,https://lh3.googleusercontent.com/u/0/d/1Z0O6j8wsdlczUsv4PWyq2WApyOXtmFU_
365,dna,LANY,100,57,69,-8,52,2:57,25,Pop Indie,relaxed,https://lh3.googleusercontent.com/u/0/d/1rKBZJiT0jk-4igz-JaegnnwwhlxZ5h_k
366,Malibu Nights,LANY,74,42,56,-12,19,4:46,70,Pop Indie,sad,https://lh3.googleusercontent.com/u/0/d/1rKBZJiT0jk-4igz-JaegnnwwhlxZ5h_k
367,Heather,Conan Gray,102,43,36,-7,27,3:18,58,Pop,sad,https://lh3.googleusercontent.com/u/0/d/1tvtKXV1AzKHWRqyrUYsP0VtxK2Y8kywz
